zoneid,aspect ratio,msr,tectonic zone,region,tectonic subregion,focal plane
1,2,StrasserInterface,Subduction interface,Pamirs,subduction interface,primary
2,2,StrasserInterface,Subduction interface,Pamirs,subduction interface,primary
3,2,WC1994,Active shallow crust,Qaidam,active shallow crust strike-slip reverse,primary
4,2,StrasserInterface,Subduction interface,Kunlun Shan,subduction interface,primary
5,2,StrasserInterface,Subduction interface,Pamirs,subduction interface,primary
6,2,WC1994,Active shallow crust,Pamirs,active shallow crust normal,primary
7,2,WC1994,Active shallow crust,Kunlun,active shallow crust normal,primary
8,2,WC1994,Active shallow crust,Hindu Kush,active shallow crust strike-slip reverse,primary
9,2,WC1994,Active shallow crust,Hindu Kush,active shallow crust strike-slip reverse,primary
12,2,WC1994,Active shallow crust,Himalayas,active shallow crust strike-slip reverse,primary
13,2,StrasserInterface,Subduction interface,Himalayas - Main Frontal Thrust,subduction interface,primary
14,2,StrasserInterface,Subduction interface,Makran,subduction interface,primary
15,2,StrasserInterface,Subduction interface,Kirthar,subduction interface,primary
16,2,StrasserInterface,Subduction interface,Sulaiman,subduction interface,primary
17,2,StrasserInterface,Subduction interface,Pamirs,subduction interface,primary
21,2,StrasserInterface,Subduction interface,Himalayas - Main Frontal Thrust,subduction interface,primary
22,2,StrasserInterface,Subduction interface,Himalayas - Main Frontal Thrust,subduction interface,primary
57,2,WC1994,Active shallow crust,Andaman-Sumatra,active shallow crust normal,primary
58,2,WC1994,Active shallow crust,Andaman-Sumatra,active shallow crust strike-slip reverse,primary
63,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
66,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
71,2,WC1994,Oceanic crust,Bay of Bengal & Arabian Sea,no seismicity,primary
74,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
75,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
81,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
82,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
86,2,WC1994,Stable continental,"Sri Lanka, Laccadive Sea",no seismicity,primary
87,2,StrasserInterface,Subduction interface,Pamir,subduction interface,primary
88,2,StrasserInterface,Subduction interface,Hindu Kush,subduction interface,primary
89,2,StrasserInterface,Subduction interface,Hindu Kush,subduction interface,primary
90,2,StrasserInterface,Subduction interface,Pamir,subduction interface,primary
91,2,StrasserInterface,Subduction interface,Kunlun,subduction interface,primary
92,2,StrasserInterface,Subduction interface,Hindu Kush,subduction interface,primary
93,2,StrasserInterface,Subduction interface,Sulaiman,subduction interface,primary
94,2,StrasserInterface,Subduction interface,Makran,subduction interface,primary
95,2,StrasserInterface,Subduction interface,Makram,subduction interface,primary
97,2,StrasserInterface,Subduction interface,"North Afghanistan, south of mountains",subduction interface,primary
98,2,StrasserInterface,Subduction interface,Himalayas,subduction interface,primary
99,2,StrasserInterface,Subduction interface,,subduction interface,primary
100,2,StrasserInterface,Subduction interface,Karakoram,subduction interface,primary
101,2,StrasserInterface,Subduction interface,Tibetan plateau,subduction interface,primary
102,2,StrasserInterface,Subduction interface,Tibetan plateau,subduction interface,primary
103,2,StrasserInterface,Subduction interface,"Ladakh, Zanskar, Tibetan",subduction interface,primary
110,2,StrasserInterface,Subduction interface,Himalayas,subduction interface,primary
116,2,StrasserInterface,Subduction interface,Bangong-Nujiang,subduction interface,primary
118,2,StrasserInterface,Subduction interface,Mikir Hills,subduction interface,primary
119,2,WC1994,Intraplate margin,Shillong plateau,intraplate margin lower,primary
128,2,StrasserInterface,Subduction interface,Indo-Myanmar,subduction interface,primary
129,2,StrasserInterface,Subduction interface,Indo-Myanmar,subduction interface,primary
130,2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,primary
131,2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,primary
132,2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,primary
136,2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,primary
137,2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,primary
138,2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,primary
153,2,StrasserIntraslab,Subduction intraslab,Hindu Kush,subduction intraslab Himalayas,primary
154,2,StrasserIntraslab,Subduction intraslab,Pamir,subduction intraslab Himalayas,primary
162,2,StrasserIntraslab,Subduction intraslab,Indo-Myanmar,subduction intraslab,primary
163,2,StrasserIntraslab,Subduction intraslab,Indo-Myanmar,subduction intraslab,primary
164,2,StrasserIntraslab,Subduction intraslab,Indo-Myanmar,subduction intraslab,primary
166,2,StrasserIntraslab,Subduction intraslab,Andaman-Sumatra,subduction intraslab,primary
167,2,StrasserIntraslab,Subduction intraslab,Andaman-Sumatra,subduction intraslab,primary
169,2,StrasserIntraslab,Subduction intraslab,Hindu Kush,subduction intraslab Himalayas,primary
170,2,StrasserIntraslab,Subduction intraslab,Pamir,subduction intraslab Himalayas,primary
172,2,StrasserIntraslab,Subduction intraslab,Andaman-Sumatra,subduction intraslab,primary
901,2,WC1994,Active shallow crust,"Chang Chenmo, Aksai Chin",active shallow crust strike-slip reverse,primary
902,2,WC1994,Active shallow crust,Tibetan plateau,active shallow crust normal,primary
903,2,WC1994,Active shallow crust,Murray Ridge,active shallow crust normal,primary
904,2,WC1994,Active shallow crust,Himalayas,active shallow crust strike-slip reverse,primary
905,2,WC1994,Active shallow crust,Tibetan plateau,active shallow crust normal,primary
906,2,WC1994,Active shallow crust,Himalayas - Main Frontal Thrust,active shallow crust strike-slip reverse,primary
907,2,WC1994,Active shallow crust,Tibetan plateau,active shallow crust normal,primary
908,2,WC1994,Active shallow crust,Himalayas,active shallow crust strike-slip reverse,primary
909,2,WC1994,Active shallow crust,Tibetan plateau,active shallow crust normal,primary
910,2,StrasserInterface,Subduction interface,Indo-Myanmar,subduction interface,primary
911,2,StrasserInterface,Subduction interface,Indo-Myanmar,subduction interface,primary
912,2,WC1994,Intraplate margin,Shillong plateau,intraplate margin upper,primary
913,2,WC1994,Active shallow crust,Bangladesh,active shallow crust strike-slip reverse,primary
914,2,WC1994,Active shallow crust,Indo-Myanmar,active shallow crust strike-slip reverse,primary
915,2,WC1994,Active shallow crust,Bay of Bengal,active shallow crust normal,primary
916,2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,primary
917,2,WC1994,Oceanic crust,Bay of Bengal,stable shallow crust,primary
918,2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,primary
919,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
921,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
922,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
923,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
924,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
925,2,StrasserInterface,Subduction interface,Himalayas,subduction interface,primary
926,2,StrasserInterface,Subduction interface,Himalayas,subduction interface,primary
927,2,StrasserInterface,Subduction interface,Himalayas,subduction interface,primary
928,2,StrasserInterface,Subduction interface,Himalayas,subduction interface,primary
929,2,StrasserInterface,Subduction interface,Indo-Myanmar,subduction interface,primary
930,2,StrasserInterface,Subduction interface,Indo-Myanmar,subduction interface,primary
931,2,StrasserInterface,Subduction interface,Indo-Myanmar,subduction interface,primary
932,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
933,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
935,2,StrasserIntraslab,Subduction intraslab,Himalayas,subduction intraslab Himalayas,primary
936,2,StrasserIntraslab,Subduction intraslab,Himalayas,subduction intraslab Himalayas,primary
9031,2,WC1994,Oceanic crust,Murray Ridge,no seismicity,primary
9081,2,WC1994,Subduction interface,Himalayas,no seismicity,primary
9131,2,WC1994,Subduction interface,Indo-Myanmar,no seismicity,primary
9151,2,WC1994,Oceanic crust,Bay of Bengal,no seismicity,primary
9171,2,WC1994,Oceanic crust,Bay of Bengal,no seismicity,primary
