longitude,latitude,mmin,duration,lambda,nu,distance,zoneid,in zoneid,tectonic subregion,a,b,mmax,name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
69.0,36.0,4.5,39,0.0018615384615384616,0.0726,0.0,169.0,169.0,subduction intraslab,1.0498720136735944,0.84,8.6,36N 69E 180-300 km depth,36N69Ez169p0,-3.19,-4.03,-4.87
69.0,37.0,4.5,39,0.0014512820512820512,0.0566,0.0,169.0,169.0,subduction intraslab,0.9417518241617722,0.84,8.6,37N 69E 180-300 km depth,37N69Ez169p0,-3.31,-4.15,-4.99
70.0,35.0,4.5,39,0.0001717948717948718,0.0067,0.0,169.0,169.0,subduction intraslab,0.015010195674327154,0.84,8.6,35N 70E 180-300 km depth,35N70Ez169p0,-5.65,-6.49,-7.33
70.0,36.0,4.5,39,0.03411538461538462,1.3305,0.0,169.0,169.0,subduction intraslab,2.3129502718609083,0.84,8.6,36N 70E 180-300 km depth,36N70Ez169p0,-1.89,-2.73,-3.57
70.0,37.0,4.5,39,0.028574358974358977,1.1144,0.0,169.0,169.0,subduction intraslab,2.2359764963894078,0.84,8.6,37N 70E 180-300 km depth,37N70Ez169p0,-1.97,-2.81,-3.65
71.0,36.0,4.5,39,0.06842307692307692,2.6685,0.0,169.0,169.0,subduction intraslab,2.615202600113107,0.84,8.6,36N 71E 180-300 km depth,36N71Ez169p0,-1.59,-2.43,-3.27
71.0,37.0,4.5,39,0.06751282051282051,2.633,0.0,169.0,169.0,subduction intraslab,2.6093862520795685,0.84,8.6,37N 71E 180-300 km depth,37N71Ez169p0,-1.59,-2.43,-3.27
72.0,36.0,4.5,39,0.010907692307692307,0.4254,0.0,169.0,169.0,subduction intraslab,1.8177328785402107,0.84,8.6,36N 72E 180-300 km depth,36N72Ez169p0,-2.39,-3.23,-4.07
63.0,29.0,4.5,39,2.3076923076923076e-05,0.0009,846.5208968827325,169.0,,subduction intraslab,-0.8568220975871745,0.84,8.6,29N 63E 180-300 km depth,29N63Ez169p0,,,
63.0,30.0,4.5,39,7.435897435897436e-05,0.0029,767.130766461047,169.0,,subduction intraslab,-0.3486666091275432,0.84,8.6,30N 63E 180-300 km depth,30N63Ez169p0,,,
64.0,29.0,4.5,39,0.00020769230769230768,0.0081,786.5251489834495,169.0,,subduction intraslab,0.09742041185215022,0.84,8.6,29N 64E 180-300 km depth,29N64Ez169p0,-4.8,-5.64,-6.48
64.0,30.0,4.5,39,0.0006615384615384616,0.0258,700.8759262823487,169.0,,subduction intraslab,0.6005550989367308,0.84,8.6,30N 64E 180-300 km depth,30N64Ez169p0,-3.72,-4.56,-5.4
64.0,31.0,4.5,39,5.128205128205129e-06,0.0002,622.7912020115019,169.0,,subduction intraslab,-1.5100346113625185,0.84,8.6,31N 64E 180-300 km depth,31N64Ez169p0,,,
65.0,29.0,4.5,39,2.3076923076923076e-05,0.0009,733.4911925078933,169.0,,subduction intraslab,-0.8568220975871745,0.84,8.6,29N 65E 180-300 km depth,29N65Ez169p0,,,
65.0,30.0,4.5,39,7.435897435897436e-05,0.0029,641.2444437350065,169.0,,subduction intraslab,-0.3486666091275432,0.84,8.6,30N 65E 180-300 km depth,30N65Ez169p0,,,
68.0,36.0,4.5,39,7.692307692307692e-06,0.0003,77.54285698010649,169.0,,subduction intraslab,-1.3339433523068371,0.84,8.6,36N 68E 180-300 km depth,36N68Ez169p0,,,
68.0,37.0,4.5,39,2.5641025641025644e-06,0.0001,61.3002066142804,169.0,,subduction intraslab,-1.8110646070264997,0.84,8.6,37N 68E 180-300 km depth,37N68Ez169p0,,,
69.0,35.0,4.5,39,1.2820512820512822e-05,0.0005,3.6304770448898322,169.0,,subduction intraslab,-1.112094602690481,0.84,8.6,35N 69E 180-300 km depth,35N69Ez169p0,,,
69.0,38.0,4.5,39,2.5641025641025644e-06,0.0001,73.01182880490806,169.0,,subduction intraslab,-1.8110646070264997,0.84,8.6,38N 69E 180-300 km depth,38N69Ez169p0,,,
70.0,38.0,4.5,39,0.00011282051282051283,0.0044,55.49380349700547,169.0,,subduction intraslab,-0.16761193054031187,0.84,8.6,38N 70E 180-300 km depth,38N70Ez169p0,,,
71.0,35.0,4.5,39,0.00031282051282051284,0.0122,15.655978496304773,169.0,,subduction intraslab,0.27529522364824865,0.84,8.6,35N 71E 180-300 km depth,35N71Ez169p0,-4.25,-5.09,-5.93
72.0,35.0,4.5,39,7.692307692307693e-05,0.003,42.59469332016153,169.0,,subduction intraslab,-0.33394335230683714,0.84,8.6,35N 72E 180-300 km depth,35N72Ez169p0,,,
72.0,37.0,4.5,39,0.02198974358974359,0.8576,0.0,170.0,170.0,subduction intraslab,4.417220165322195,1.35,7.0,37N 72E 180-300 km depth,37N72Ez170p0,-2.33,-3.68,-5.03
72.0,38.0,4.5,39,0.0047538461538461545,0.1854,0.0,170.0,170.0,subduction intraslab,3.752045122781979,1.35,7.0,38N 72E 180-300 km depth,38N72Ez170p0,-3.0,-4.35,-5.7
73.0,37.0,4.5,39,0.0028871794871794874,0.1126,0.0,170.0,170.0,subduction intraslab,3.5354737834888286,1.35,7.0,37N 73E 180-300 km depth,37N73Ez170p0,-3.21,-4.56,-5.92
73.0,38.0,4.5,39,0.0020846153846153844,0.0813,0.0,170.0,170.0,subduction intraslab,3.394025938567569,1.35,7.0,38N 73E 180-300 km depth,38N73Ez170p0,-3.36,-4.71,-6.06
74.0,37.0,4.5,39,8.461538461538461e-05,0.0033,0.0,170.0,170.0,subduction intraslab,2.0024493328513886,1.35,7.0,37N 74E 180-300 km depth,37N74Ez170p0,-4.75,-6.1,-7.56
74.0,38.0,4.5,39,0.0014333333333333333,0.0559,0.0,170.0,170.0,subduction intraslab,3.231347200859924,1.35,7.0,38N 74E 180-300 km depth,38N74Ez170p0,-3.52,-4.87,-6.22
71.0,38.0,4.5,39,0.0011641025641025641,0.0454,37.59997709175844,170.0,,subduction intraslab,3.140991245830605,1.35,7.0,38N 71E 180-300 km depth,38N71Ez170p0,-3.61,-4.96,-6.32
71.0,39.0,4.5,39,2.5641025641025644e-06,0.0001,51.218994548091494,170.0,,subduction intraslab,0.48393539297350063,1.35,7.0,39N 71E 180-300 km depth,39N71Ez170p0,-6.44,-7.79,
72.0,39.0,4.5,39,1.2820512820512822e-05,0.0005,34.12445740289568,170.0,,subduction intraslab,1.1829053973095194,1.35,7.0,39N 72E 180-300 km depth,39N72Ez170p0,-5.6,-6.95,
73.0,36.0,4.5,39,8.205128205128206e-05,0.0032,40.20005407813945,170.0,,subduction intraslab,1.989085371293407,1.35,7.0,36N 73E 180-300 km depth,36N73Ez170p0,-4.77,-6.12,-7.57
73.0,39.0,4.5,39,3.846153846153846e-05,0.0015,20.19364101710129,170.0,,subduction intraslab,1.660026652029182,1.35,7.0,39N 73E 180-300 km depth,39N73Ez170p0,-5.1,-6.45,-8.08
74.0,39.0,4.5,39,0.00010769230769230768,0.0042,7.194034909261207,170.0,,subduction intraslab,2.1071846833714014,1.35,7.0,39N 74E 180-300 km depth,39N74Ez170p0,-4.65,-6.0,-7.43
75.0,37.0,4.5,39,5.128205128205129e-06,0.0002,1.0459277435231102,170.0,,subduction intraslab,0.7849653886374819,1.35,7.0,37N 75E 180-300 km depth,37N75Ez170p0,-6.04,-7.39,
75.0,38.0,4.5,39,0.00012051282051282052,0.0047,2.2259740408425874,170.0,,subduction intraslab,2.1560332509092186,1.35,7.0,38N 75E 180-300 km depth,38N75Ez170p0,-4.6,-5.95,-7.37
75.0,39.0,4.5,39,1.0256410256410258e-05,0.0004,3.407114207735291,170.0,,subduction intraslab,1.0859953843014631,1.35,7.0,39N 75E 180-300 km depth,39N75Ez170p0,-5.7,-7.05,
93.0,6.0,4.5,39,0.00011538461538461538,0.0045,0.0,172.0,172.0,subduction intraslab,-0.06785209325115549,0.86,8.0,6N 93E 180-300 km depth,6N93Ez172p0,,,
93.0,8.0,4.5,39,2.5641025641025644e-06,0.0001,0.0,172.0,172.0,subduction intraslab,-1.7210646070264994,0.86,8.0,8N 93E 180-300 km depth,8N93Ez172p0,,,
93.0,10.0,4.5,39,5.128205128205129e-06,0.0002,0.0,172.0,172.0,subduction intraslab,-1.4200346113625182,0.86,8.0,10N 93E 180-300 km depth,10N93Ez172p0,,,
93.0,11.0,4.5,39,1.2820512820512822e-05,0.0005,0.0,172.0,172.0,subduction intraslab,-1.0220946026904807,0.86,8.0,11N 93E 180-300 km depth,11N93Ez172p0,,,
94.0,4.0,4.5,39,5.128205128205129e-06,0.0002,0.0,172.0,172.0,subduction intraslab,-1.4200346113625182,0.86,8.0,4N 94E 180-300 km depth,4N94Ez172p0,,,
94.0,5.0,4.5,39,0.0005871794871794871,0.0229,0.0,172.0,172.0,subduction intraslab,0.6387708753133889,0.86,8.0,5N 94E 180-300 km depth,5N94Ez172p0,-3.77,-4.63,-5.49
94.0,6.0,4.5,39,0.0004179487179487179,0.0163,0.0,172.0,172.0,subduction intraslab,0.4911229973774587,0.86,8.0,6N 94E 180-300 km depth,6N94Ez172p0,-3.98,-4.84,-5.7
94.0,7.0,4.5,39,0.00013846153846153847,0.0054,0.0,172.0,172.0,subduction intraslab,0.011329152796469621,0.86,8.0,7N 94E 180-300 km depth,7N94Ez172p0,-5.88,-6.74,-7.6
94.0,8.0,4.5,39,0.0004282051282051282,0.0167,0.0,172.0,172.0,subduction intraslab,0.5016518641210843,0.86,8.0,8N 94E 180-300 km depth,8N94Ez172p0,-3.96,-4.82,-5.68
94.0,9.0,4.5,39,7.692307692307692e-06,0.0003,0.0,172.0,172.0,subduction intraslab,-1.2439433523068368,0.86,8.0,9N 94E 180-300 km depth,9N94Ez172p0,,,
94.0,10.0,4.5,39,0.00020769230769230768,0.0081,0.0,172.0,172.0,subduction intraslab,0.18742041185215053,0.86,8.0,10N 94E 180-300 km depth,10N94Ez172p0,-4.57,-5.43,-6.29
94.0,11.0,4.5,39,0.0006717948717948718,0.0262,0.0,172.0,172.0,subduction intraslab,0.6972366842932463,0.86,8.0,11N 94E 180-300 km depth,11N94Ez172p0,-3.7,-4.56,-5.42
94.0,12.0,4.5,39,5.128205128205129e-06,0.0002,0.0,172.0,172.0,subduction intraslab,-1.4200346113625182,0.86,8.0,12N 94E 180-300 km depth,12N94Ez172p0,,,
95.0,4.0,4.5,39,0.0001282051282051282,0.005,0.0,172.0,172.0,subduction intraslab,-0.022094602690480247,0.86,8.0,4N 95E 180-300 km depth,4N95Ez172p0,,,
95.0,5.0,4.5,39,0.0013923076923076923,0.0543,0.0,172.0,172.0,subduction intraslab,1.0137352225623477,0.86,8.0,5N 95E 180-300 km depth,5N95Ez172p0,-3.33,-4.19,-5.05
95.0,6.0,4.5,39,0.0015999999999999999,0.0624,0.0,172.0,172.0,subduction intraslab,1.0741199826559247,0.86,8.0,6N 95E 180-300 km depth,6N95Ez172p0,-3.26,-4.12,-4.98
95.0,7.0,4.5,39,0.0026435897435897436,0.1031,0.0,172.0,172.0,subduction intraslab,1.2921940582570173,0.86,8.0,7N 95E 180-300 km depth,7N95Ez172p0,-3.03,-3.89,-4.75
95.0,8.0,4.5,39,0.0004846153846153846,0.0189,0.0,172.0,172.0,subduction intraslab,0.5553971971467448,0.86,8.0,8N 95E 180-300 km depth,8N95Ez172p0,-3.89,-4.75,-5.61
95.0,9.0,4.5,39,7.692307692307692e-06,0.0003,0.0,172.0,172.0,subduction intraslab,-1.2439433523068368,0.86,8.0,9N 95E 180-300 km depth,9N95Ez172p0,,,
95.0,10.0,4.5,39,3.846153846153846e-05,0.0015,0.0,172.0,172.0,subduction intraslab,-0.5449733479708181,0.86,8.0,10N 95E 180-300 km depth,10N95Ez172p0,,,
95.0,11.0,4.5,39,0.00012307692307692307,0.0048,0.0,172.0,172.0,subduction intraslab,-0.03982336965091182,0.86,8.0,11N 95E 180-300 km depth,11N95Ez172p0,,,
96.0,3.0,4.5,39,0.00014871794871794872,0.0058,0.0,172.0,172.0,subduction intraslab,0.04236338653643834,0.86,8.0,3N 96E 180-300 km depth,3N96Ez172p0,-5.29,-6.15,-7.01
96.0,4.0,4.5,39,5.8974358974358975e-05,0.0023,0.0,172.0,172.0,subduction intraslab,-0.3593367710089064,0.86,8.0,4N 96E 180-300 km depth,4N96Ez172p0,,,
96.0,5.0,4.5,39,0.0009641025641025641,0.0376,0.0,172.0,172.0,subduction intraslab,0.8541232379011618,0.86,8.0,5N 96E 180-300 km depth,5N96Ez172p0,-3.51,-4.37,-5.23
96.0,6.0,4.5,39,0.0013102564102564103,0.0511,0.0,172.0,172.0,subduction intraslab,0.9873562931082138,0.86,8.0,6N 96E 180-300 km depth,6N96Ez172p0,-3.36,-4.22,-5.08
96.0,7.0,4.5,39,0.0010205128205128206,0.0398,0.0,172.0,172.0,subduction intraslab,0.8788184650471886,0.86,8.0,7N 96E 180-300 km depth,7N96Ez172p0,-3.48,-4.34,-5.2
96.0,8.0,4.5,39,1.0256410256410258e-05,0.0004,0.0,172.0,172.0,subduction intraslab,-1.119004615698537,0.86,8.0,8N 96E 180-300 km depth,8N96Ez172p0,,,
97.0,3.0,4.5,39,0.0008974358974358975,0.035,0.0,172.0,172.0,subduction intraslab,0.8230034373237767,0.86,8.0,3N 97E 180-300 km depth,3N97Ez172p0,-3.55,-4.41,-5.27
97.0,4.0,4.5,39,0.0001282051282051282,0.005,0.0,172.0,172.0,subduction intraslab,-0.022094602690480247,0.86,8.0,4N 97E 180-300 km depth,4N97Ez172p0,,,
97.0,5.0,4.5,39,0.00021025641025641028,0.0082,0.0,172.0,172.0,subduction intraslab,0.1927492453572177,0.86,8.0,5N 97E 180-300 km depth,5N97Ez172p0,-4.55,-5.41,-6.27
97.0,6.0,4.5,39,3.3333333333333335e-05,0.0013,0.0,172.0,172.0,subduction intraslab,-0.6071212547196625,0.86,8.0,6N 97E 180-300 km depth,6N97Ez172p0,,,
97.0,7.0,4.5,39,7.692307692307692e-06,0.0003,0.0,172.0,172.0,subduction intraslab,-1.2439433523068368,0.86,8.0,7N 97E 180-300 km depth,7N97Ez172p0,,,
98.0,4.0,4.5,39,0.000958974358974359,0.0374,0.0,172.0,172.0,subduction intraslab,0.8518069951739813,0.86,8.0,4N 98E 180-300 km depth,4N98Ez172p0,-3.51,-4.37,-5.23
93.0,5.0,4.5,39,0.00011538461538461538,0.0045,24.140673259992244,172.0,,subduction intraslab,-0.06785209325115549,0.86,8.0,5N 93E 180-300 km depth,5N93Ez172p0,,,
93.0,24.0,4.5,39,0.0002358974358974359,0.0092,1018.3458495468036,172.0,,subduction intraslab,0.24272322031905613,0.86,8.0,24N 93E 180-300 km depth,24N93Ez172p0,-4.43,-5.29,-6.15
93.0,25.0,4.5,39,0.00013076923076923077,0.0051,1124.4660134633723,172.0,,subduction intraslab,-0.013494430928562728,0.86,8.0,25N 93E 180-300 km depth,25N93Ez172p0,,,
94.0,23.0,4.5,39,2.5641025641025644e-06,0.0001,904.618581235471,172.0,,subduction intraslab,-1.7210646070264994,0.86,8.0,23N 94E 180-300 km depth,23N94Ez172p0,,,
94.0,24.0,4.5,39,0.0003846153846153846,0.015,1011.9512861653335,172.0,,subduction intraslab,0.45502665202918235,0.86,8.0,24N 94E 180-300 km depth,24N94Ez172p0,-4.03,-4.89,-5.75
94.0,25.0,4.5,39,0.00021794871794871795,0.0085,1118.7632974046003,172.0,,subduction intraslab,0.20835431868779386,0.86,8.0,25N 94E 180-300 km depth,25N94Ez172p0,-4.51,-5.37,-6.23
95.0,24.0,4.5,39,3.076923076923077e-05,0.0012,1015.982305929649,172.0,,subduction intraslab,-0.6418833609788743,0.86,8.0,24N 95E 180-300 km depth,24N95Ez172p0,,,
95.0,25.0,4.5,39,0.0004974358974358975,0.0194,1122.3730484150985,172.0,,subduction intraslab,0.566737122903727,0.86,8.0,25N 95E 180-300 km depth,25N95Ez172p0,-3.87,-4.73,-5.59
95.0,26.0,4.5,39,2.5641025641025643e-05,0.001,1228.2832589816537,172.0,,subduction intraslab,-0.7210646070264994,0.86,8.0,26N 95E 180-300 km depth,26N95Ez172p0,,,
96.0,16.0,4.5,39,0.00023333333333333336,0.0091,245.9399831590783,172.0,,subduction intraslab,0.23797678529459443,0.86,8.0,16N 96E 180-300 km depth,16N96Ez172p0,-4.44,-5.3,-6.16
96.0,17.0,4.5,39,0.00023333333333333336,0.0091,321.58285250692734,172.0,,subduction intraslab,0.23797678529459443,0.86,8.0,17N 96E 180-300 km depth,17N96Ez172p0,-4.44,-5.3,-6.16
96.0,24.0,4.5,39,2.5641025641025643e-05,0.001,1030.3136789000546,172.0,,subduction intraslab,-0.7210646070264994,0.86,8.0,24N 96E 180-300 km depth,24N96Ez172p0,,,
96.0,25.0,4.5,39,0.0004948717948717949,0.0193,1135.2038646424041,172.0,,subduction intraslab,0.5644927019812749,0.86,8.0,25N 96E 180-300 km depth,25N96Ez172p0,-3.87,-4.73,-5.59
96.0,26.0,4.5,39,2.5641025641025643e-05,0.001,1239.8678499022183,172.0,,subduction intraslab,-0.7210646070264994,0.86,8.0,26N 96E 180-300 km depth,26N96Ez172p0,,,
97.0,16.0,4.5,39,0.00023333333333333336,0.0091,339.1323956168897,172.0,,subduction intraslab,0.23797678529459443,0.86,8.0,16N 97E 180-300 km depth,16N97Ez172p0,-4.44,-5.3,-6.16
97.0,17.0,4.5,39,0.00023333333333333336,0.0091,396.90403091258446,172.0,,subduction intraslab,0.23797678529459443,0.86,8.0,17N 97E 180-300 km depth,17N97Ez172p0,-4.44,-5.3,-6.16
97.0,25.0,4.5,39,1.2820512820512822e-05,0.0005,1156.935878703246,172.0,,subduction intraslab,-1.0220946026904807,0.86,8.0,25N 97E 180-300 km depth,25N97Ez172p0,,,
97.0,26.0,4.5,39,7.692307692307692e-06,0.0003,1259.533853115201,172.0,,subduction intraslab,-1.2439433523068368,0.86,8.0,26N 97E 180-300 km depth,26N97Ez172p0,,,
98.0,3.0,4.5,39,0.0007333333333333333,0.0286,32.945919686587864,172.0,,subduction intraslab,0.7353014261025441,0.86,8.0,3N 98E 180-300 km depth,3N98Ez172p0,-3.65,-4.51,-5.37
98.0,5.0,4.5,39,0.0007999999999999999,0.0312,9.510712550218146,172.0,,subduction intraslab,0.7730899869919439,0.86,8.0,5N 98E 180-300 km depth,5N98Ez172p0,-3.61,-4.47,-5.33
98.0,6.0,4.5,39,1.2820512820512822e-05,0.0005,48.7814627273371,172.0,,subduction intraslab,-1.0220946026904807,0.86,8.0,6N 98E 180-300 km depth,6N98Ez172p0,,,
98.0,25.0,4.5,39,0.00034871794871794867,0.0136,1187.0572290585155,172.0,,subduction intraslab,0.41247430134371843,0.86,8.0,25N 98E 180-300 km depth,25N98Ez172p0,-4.1,-4.96,-5.82
98.0,26.0,4.5,39,0.00034871794871794867,0.0136,1286.8898599787246,172.0,,subduction intraslab,0.41247430134371843,0.86,8.0,26N 98E 180-300 km depth,26N98Ez172p0,-4.1,-4.96,-5.82
99.0,3.0,4.5,39,0.0028846153846153848,0.1125,78.83436267938995,172.0,,subduction intraslab,1.330087915420882,0.86,8.0,3N 99E 180-300 km depth,3N99Ez172p0,-2.99,-3.85,-4.71
99.0,4.0,4.5,39,0.000876923076923077,0.0342,73.92765621217917,172.0,,subduction intraslab,0.8129614990296359,0.86,8.0,4N 99E 180-300 km depth,4N99Ez172p0,-3.56,-4.42,-5.28
99.0,5.0,4.5,39,6.41025641025641e-05,0.0025,113.04457745297545,172.0,,subduction intraslab,-0.32312459835446106,0.86,8.0,5N 99E 180-300 km depth,5N99Ez172p0,,,
99.0,6.0,4.5,39,0.0003846153846153846,0.015,152.118269627715,172.0,,subduction intraslab,0.45502665202918235,0.86,8.0,6N 99E 180-300 km depth,6N99Ez172p0,-4.03,-4.89,-5.75
100.0,4.0,4.5,39,8.974358974358975e-05,0.0035,177.6615642851759,172.0,,subduction intraslab,-0.17699656267622377,0.86,8.0,4N 100E 180-300 km depth,4N100Ez172p0,,,
